title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,manuscript_id_or_shelfmark,material,dimensions,trove_category,trove_record_type,trove_id,trove_url
"ARMENIANS. MASSACRES BY TURKS. LONDON, May 17.",1915-05-19,,The Russian Consul at Ururaiah states that 6000 Armenians have been massacred at Van (Turkish Armenia).,https://nla.gov.au/nla.news-article15589429?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,15589429,https://nla.gov.au/nla.news-article15589429?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"HARRIED ARMENIANS FRESH ATROCITIES FEARED LONDON, Sunday Night.",1916-09-11,,"A Constantinople message says that the Armenian population of Asia Minor has removed to other parts of the Turkish Empire, consequent upon the spread of the",https://nla.gov.au/nla.news-article223368905?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,223368905,https://nla.gov.au/nla.news-article223368905?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRE OF ARMENIANS WHOLESALE SLAUGHTER BY TURKS. ROME, Wednesday.",1915-09-10,,"Armenian refugees state that 70,000 Armenians, including several Turkish Deputies have been massacred by the Turks.",https://nla.gov.au/nla.news-article216920811?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,216920811,https://nla.gov.au/nla.news-article216920811?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"THE ARMENIANS, AVENGING MASSACRES. PETROGRAD, Oct. 19.",1915-10-20,,"The Armenians outside Turkey are determined on a general rising to avenge the massacres. Volunteer corps consisting of Armenians in Italy, Egypt,",https://nla.gov.au/nla.news-article50841035?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,50841035,https://nla.gov.au/nla.news-article50841035?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRE BY ORDER POLICY PREMEDITATED VILLAGE WIPED OUT IN DAY LONDON, Thursday.",1915-10-08,,"In the course of his speech in the House of Lords yesterday on the subject of the Armenian massacres, Lord Bryce, who recently made an appeal to",https://nla.gov.au/nla.news-article242415170?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,242415170,https://nla.gov.au/nla.news-article242415170?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
IN ASIA MINOR Large Massacres of Armenians,1915-05-18,,"It is reported that 6000 Armenians were massacred at Van, in Turkish Armenia.",https://nla.gov.au/nla.news-article141109021?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,141109021,https://nla.gov.au/nla.news-article141109021?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
TURKEY AND ARMENIA EVIDENCE AT A TRIAL DETAILS OF MASSACRES.,1921-06-04,,"Reuter’s correspondent at Berlin states that the trial has opened of the young Armenian student Teilirian on a charge of shooting Talmat Pasha, the",https://nla.gov.au/nla.news-article211965103?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,211965103,https://nla.gov.au/nla.news-article211965103?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"TURKISH ATROCITIES Washington, June 3.",1922-06-06,,"In spite of previous reports to the contrary, Mr. Hughes announces that the United States is prepared to join in the investigation into",https://nla.gov.au/nla.news-article34235074?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,34235074,https://nla.gov.au/nla.news-article34235074?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"Massacre of Armenians. Resumed with Vigour. WASHINGTON, October 12.",1915-10-13,,The State Department has learnt that the massacres of Armenians have been returned with vigour since Bulgaria's entrance into the war.,https://nla.gov.au/nla.news-article176915325?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,176915325,https://nla.gov.au/nla.news-article176915325?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRE OF ARMENIANS. SE[?]ENTY THOUSAND KILLED. ROME, Wednesday.",1915-09-10,,"Armenian refugees state that 70,000 Armenians, including several Turkish Deputies, have been [?]ass[?]red.",https://nla.gov.au/nla.news-article120400317?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,120400317,https://nla.gov.au/nla.news-article120400317?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
